rain_sum,precipitation_sum,precipitation_hours,wind_direction_10m_dominant,et0_fao_evapotranspiration,sunshine_duration,shortwave_radiation_sum
0.7,0.7,5.0,36.414692,5.1438184,40370.383,24.38
0.70000005,0.70000005,6.0,37.550648,5.1205173,40711.805,23.93
0.0,0.0,0.0,41.23556,5.3452783,40628.484,24.91
1.3000001,1.3000001,7.0,42.09906,4.9873924,33342.125,22.59
0.9,0.9,3.0,41.23309,4.993809,40738.906,23.61
0.0,0.0,0.0,41.736584,5.7217712,40970.652,27.37
0.0,0.0,0.0,37.845123,6.0332375,40995.004,27.66
0.0,0.0,0.0,45.62953,5.4875226,40957.086,24.53
0.5,0.5,3.0,32.830112,4.9467125,40170.3,22.56
1.3,1.3,4.0,45.852196,4.7681003,40972.977,22.39
0.1,0.1,1.0,40.046684,5.499898,40879.04,25.37
0.2,0.2,2.0,22.590841,5.4791584,40272.566,24.16
0.0,0.0,0.0,29.91455,5.842834,41135.266,25.59
0.0,0.0,0.0,37.426174,6.3957386,40688.23,27.54
0.2,0.2,2.0,40.54902,4.904218,41178.773,21.85
0.0,0.0,0.0,41.49962,5.8953447,41199.707,27.27
0.0,0.0,0.0,32.232758,5.8609214,41220.03,26.66
0.0,0.0,0.0,30.770348,5.8928986,41239.695,25.66
0.0,0.0,0.0,29.316801,5.6934147,41258.656,24.61
0.0,0.0,0.0,19.680416,6.1612754,41276.867,26.45
0.0,0.0,0.0,30.172186,5.8703914,41294.277,25.86
0.0,0.0,0.0,35.725117,6.11173,41306.605,25.64
0.0,0.0,0.0,25.934736,5.656665,41306.387,24.45
0.1,0.1,1.0,24.659405,5.921212,41306.11,26.24
0.4,0.4,3.0,9.5105915,5.5866385,40988.48,24.8
8.0,8.0,7.0,295.0168,4.4265084,37107.164,22.76
0.3,0.3,2.0,343.9091,3.6702337,37434.656,18.78
5.399999,5.399999,13.0,317.48956,3.577057,35523.133,19.03
4.6999993,4.6999993,7.0,333.43503,4.247571,40164.74,21.97
25.5,25.5,13.0,354.5811,2.847261,29624.666,15.22
0.4,0.4,3.0,21.786682,4.9784164,41303.21,25.69
1.2,1.2,3.0,27.996456,4.6870804,41302.65,24.46
0.3,0.3,3.0,14.695225,4.3926077,37819.234,20.78
0.0,0.0,0.0,28.097599,5.830773,41301.375,27.8
0.0,0.0,0.0,30.019081,5.844688,41300.652,27.91
0.5,0.5,3.0,26.299414,5.8235235,41299.88,27.17
0.2,0.2,2.0,31.27996,5.925957,41299.03,26.92
0.3,0.3,1.0,42.709393,5.298657,41298.125,23.4
0.0,0.0,0.0,37.86967,6.1384935,41297.164,27.12
0.0,0.0,0.0,31.684376,6.293672,41296.133,26.69
0.0,0.0,0.0,43.320286,6.501097,41295.03,26.97
0.0,0.0,0.0,43.574436,6.347582,41293.867,26.23
1.1,1.1,6.0,50.471645,5.0626416,40865.305,22.93
3.1999998,3.1999998,15.0,54.9492,4.9207053,34254.59,23.17
0.0,0.0,0.0,49.276947,6.0931077,41289.96,26.43
0.0,0.0,0.0,39.79916,6.259993,41288.523,25.53
0.8,0.8,1.0,43.097897,6.1585903,41286.938,25.62
0.1,0.1,1.0,45.263367,6.491701,41285.18,26.56
0.0,0.0,0.0,38.627647,7.1090536,41283.35,28.75
0.0,0.0,0.0,27.979408,7.184476,41281.457,29.05
0.0,0.0,0.0,29.693104,7.2995567,41279.484,28.85
0.0,0.0,0.0,34.294094,7.596974,41277.45,28.86
0.0,0.0,0.0,40.41837,7.279513,41275.324,28.78
0.0,0.0,0.0,46.6055,6.9856977,41273.137,28.38
0.0,0.0,0.0,36.629883,6.9001646,41270.87,27.83
0.0,0.0,0.0,39.370647,6.902214,41268.535,28.04
0.0,0.0,0.0,45.183083,7.27458,41266.117,28.72
0.0,0.0,0.0,35.41855,7.56539,41263.625,29.11
0.0,0.0,0.0,33.794743,7.4218006,41261.062,28.4
0.0,0.0,0.0,38.42636,6.5817394,41258.426,23.99
0.0,0.0,0.0,51.333656,6.5654383,41255.723,26.67
0.0,0.0,0.0,57.70334,6.658916,41252.945,26.94
0.0,0.0,0.0,73.48696,6.4473667,41250.1,26.67
0.0,0.0,0.0,72.61753,6.754719,41247.195,27.36
0.0,0.0,0.0,67.26438,6.8173923,41244.227,28.21
0.7,0.7,2.0,54.396694,6.729459,41238.16,27.37
0.90000004,0.90000004,4.0,52.550793,5.619285,40748.887,23.88
2.3,2.3,11.0,60.82815,5.332078,39924.926,24.85
13.8,13.8,10.0,242.1281,3.617308,40028.43,18.1
1.6,1.6,4.0,26.288214,4.9381413,40840.05,24.8
1.0000001,1.0000001,7.0,36.55661,5.0371976,37383.02,25.07
2.2,2.2,8.0,38.461933,4.865756,33930.914,24.38
0.0,0.0,0.0,33.17687,6.695576,41118.344,28.87
0.0,0.0,0.0,35.935078,6.515934,40919.625,26.64
0.0,0.0,0.0,33.51618,6.0710425,40424.703,26.13
0.90000004,0.90000004,7.0,62.97272,5.5006914,40616.332,25.33
3.7999997,3.7999997,16.0,53.099667,4.7558722,40091.426,23.11
11.200004,11.200004,21.0,60.40043,4.2729797,34007.69,22.79
7.4999995,7.4999995,14.0,44.665955,3.7177427,39379.707,19.42
2.1000001,2.1000001,14.0,51.257828,4.6327386,34023.004,22.33
2.1000001,2.1000001,14.0,49.455666,4.969664,39557.07,24.46
